Player,Pos,Pts,Team,Status,Salary,Bid
Jack Studnicka,F,11,UFA,0,0,0
Jacob Bernard-Docker,D,11,UFA,0,0,0
Jarred Tinordi,D,11,UFA,0,0,0
Jean-Luc Foudy,F,11,ENT,0,0,0
Josh Archibald,F,11,UFA,0,0,0
Michael Carcone,F,11,UFA,0,0,0
Nikita Zaitsev,D,11,UFA,0,0,0
Pierre-Edouard Bellemare,F,11,UFA,0,0,0
Robert Hagg,D,11,UFA,0,0,0
Sam Carrick,F,11,UFA,0,0,0
Thomas Bordeleau,F,11,ZSK,MINOR,0.5,0
Troy Stecher,D,11,UFA,0,0,0
Cal Foote,D,10,MAC,MINOR,0.5,0
Cole Smith,F,10,UFA,0,0,0
Devon Levi,G,10,GVR,MINOR,0.5,0
Erik Gudbranson,D,10,UFA,0,0,0
Jan Rutta,D,10,UFA,0,0,0
Karson Kuhlman,F,10,UFA,0,0,0
Liam Foudy,F,10,UFA,0,0,0
Logan Brown,F,10,UFA,0,0,0
Mackenzie Entwistle,F,10,UFA,0,0,0
Reese Johnson,F,10,UFA,0,0,0
Samuel Bolduc,D,10,UFA,0,0,0
Zachary Bolduc,F,10,LGN,MINOR,0.5,0
Alex Goligoski,D,9,UFA,0,0,0
Andreas Johnsson,F,9,UFA,0,0,0
Brad Hunt,D,9,UFA,0,0,0
Chris Wideman,D,9,UFA,0,0,0
Curtis Lazar,F,9,UFA,0,0,0
Henry Thrun,D,9,ENT,0,0,0
Jordan Oesterle,D,9,UFA,0,0,0
Kole Lind,F,9,UFA,0,0,0
Linus Karlsson,F,9,UFA,0,0,0
Luke Glendening,F,9,UFA,0,0,0
Michael Pezzetta,F,9,UFA,0,0,0
Parker Kelly,F,9,UFA,0,0,0
Raphael Lavoie,F,9,ENT,0,0,0
Sheldon Dries,F,9,UFA,0,0,0
Tanner Laczynski,F,9,UFA,0,0,0
Tye Kartye,F,9,UFA,0,0,0
Tyler Tucker,D,9,UFA,0,0,0
Ben Jones,F,8,UFA,0,0,0
Colin Blackwell,F,8,UFA,0,0,0
Connor Zary,F,8,SRL,MINOR,0.5,0
Daniil Gushchin,F,8,ENT,0,0,0
Dylan Gambrell,F,8,UFA,0,0,0
Eetu Makiniemi,G,8,UFA,0,0,0
Elmer Soderblom,F,8,UFA,0,0,0
Jakub Zboril,D,8,UFA,0,0,0
Josh Brown,D,8,UFA,0,0,0
Liam O`Brien,F,8,UFA,0,0,0
Marco Scandella,D,8,UFA,0,0,0
Mike Reilly,D,8,UFA,0,0,0
Samuel Fagemo,F,8,SHF,MINOR,0.5,0
Tyler Pitlick,F,8,UFA,0,0,0
Xavier Bourgault,F,8,GVR,MINOR,0.5,0
Andreas Englund,D,7,UFA,0,0,0
Bobby McMann,F,7,UFA,0,0,0
Dylan Coghlan,D,7,UFA,0,0,0
Fabian Lysell,F,7,LGN,MINOR,0.5,0
Jiri Kulich,F,7,ENT,0,0,0
Kurtis MacDermid,D,7,UFA,0,0,0
Kyle Burroughs,D,7,UFA,0,0,0
Mathias Emilio Pettersen,F,7,UFA,0,0,0
Mavrik Bourque,F,7,VPP,MINOR,0.5,0
Nicholas Abruzzese,F,7,UFA,0,0,0
Olen Zellweger,D,7,ZSK,MINOR,0.5,0
Ryan Carpenter,F,7,UFA,0,0,0
Tim Berni,D,7,UFA,0,0,0
Travis Dermott,D,7,UFA,0,0,0
Urho Vaakanainen,D,7,UFA,0,0,0
Ville Heinola,D,7,ZSK,START,0.5,0
Will Cuylle,F,7,ENT,0,0,0
Brett Leason,F,6,UFA,0,0,0
Dmitri Voronkov,F,6,UFA,0,0,0
Drew Helleson,D,6,ENT,0,0,0
Jack Johnson,D,6,UFA,0,0,0
Jake Leschyshyn,F,6,UFA,0,0,0
Jiri Patera,G,6,UFA,0,0,0
Jonas Rondbjerg,F,6,UFA,0,0,0
Kyle Capobianco,D,6,UFA,0,0,0
Logan Stankoven,F,6,LGN,MINOR,0.6,0
Lukas Dostal,G,6,ZSK,MINOR,0.5,0
Mads Sogaard,G,6,UFA,0,0,0
Matt Irwin,D,6,UFA,0,0,0
Matt Murray,G,6,UFA,0,0,0
Matthew Highmore,F,6,UFA,0,0,0
Phillip Di Giuseppe,F,6,UFA,0,0,0
Reilly Walsh,D,6,UFA,0,0,0
Robert Bortuzzo,D,6,UFA,0,0,0
Zach Bogosian,D,6,UFA,0,0,0
Ben Harpur,D,5,UFA,0,0,0
Brendan Brisson,F,5,BOT,MINOR,0.5,0
Brendan Smith,D,5,UFA,0,0,0
Chad Ruhwedel,D,5,UFA,0,0,0
Chris Tierney,F,5,UFA,0,0,0
Christian Wolanin,D,5,UFA,0,0,0
Connor Mackey,D,5,UFA,0,0,0
Drake Caggiula,F,5,UFA,0,0,0
Gabriel Landeskog,F,5,GVR,MINOR,5.2,0
James Hamblin,F,5,UFA,0,0,0
Jansen Harkins,F,5,UFA,0,0,0
Jaycob Megna,D,5,UFA,0,0,0
Leo Carlsson,F,5,ENT,0,0,0
Nikita Nesterenko,F,5,ENT,0,0,0
Pavol Regenda,F,5,UFA,0,0,0
Riley Stillman,D,5,UFA,0,0,0
Ruslan Iskhakov,F,5,UFA,0,0,0
Sammy Walker,F,5,UFA,0,0,0
Vasiliy Ponomarev,F,5,ENT,0,0,0
Alec Regula,D,4,UFA,0,0,0
Alex Lyon,G,4,UFA,0,0,0
Alex Turcotte,F,4,GVR,MINOR,0.8,0
Arturs Silovs,G,4,ENT,0,0,0
Austin Czarnik,F,4,UFA,0,0,0
Brayden Pachal,D,4,UFA,0,0,0
Casey DeSmith,G,4,UFA,0,0,0
Chris Driedger,G,4,UFA,0,0,0
Clay Stevenson,G,4,UFA,0,0,0
Collin Delia,G,4,UFA,0,0,0
Colton White,D,4,UFA,0,0,0
Dryden Hunt,F,4,UFA,0,0,0
Givani Smith,F,4,UFA,0,0,0
Ivan Prosvetov,G,4,UFA,0,0,0
Jackson Lacombe,D,4,ENT,0,0,0
Justus Annunen,G,4,LPT,MINOR,0.5,0
Kale Clague,D,4,UFA,0,0,0
Magnus Chrona,G,4,UFA,0,0,0
Marc McLaughlin,F,4,UFA,0,0,0
Markus Niemelainen,D,4,UFA,0,0,0
Matt Luff,F,4,UFA,0,0,0
Nico Daws,G,4,UFA,0,0,0
Radim Zohorna,F,4,UFA,0,0,0
Riley Damiani,F,4,UFA,0,0,0
Ronnie Attard,D,4,GVR,MINOR,0.5,0
Trey Fix-Wolansky,F,4,UFA,0,0,0
Vincent Iorio,D,4,ENT,0,0,0
Will Butcher,D,4,UFA,0,0,0
William Dufour,F,4,ENT,0,0,0
William Lockwood,F,4,UFA,0,0,0
Yaroslav Askarov,G,4,GVR,MINOR,0.8,0
Casey Fitzgerald,D,3,UFA,0,0,0
Emil Andrae,D,3,ENT,0,0,0
Graeme Clarke,F,3,ENT,0,0,0
Haydn Fleury,D,3,UFA,0,0,0
Ivan Miroshnichenko,F,3,ENT,0,0,0
Jamieson Rees,F,3,ENT,0,0,0
Jasper Weatherby,F,3,UFA,0,0,0
Joe Snively,F,3,UFA,0,0,0
John Leonard,F,3,UFA,0,0,0
Kaedan Korczak,D,3,UFA,0,0,0
Kevin Korchinski,D,3,GVR,MINOR,0.5,0
Kristian Reichel,F,3,UFA,0,0,0
Lane Pederson,F,3,UFA,0,0,0
Lucas Carlsson,D,3,UFA,0,0,0
Matej Blumel,F,3,UFA,0,0,0
Michael McCarron,F,3,UFA,0,0,0
Nathan Smith,F,3,UFA,0,0,0
Nic Petan,F,3,UFA,0,0,0
Noah Juulsen,D,3,UFA,0,0,0
Otto Koivula,F,3,UFA,0,0,0
Ryan O`Rourke,D,3,ENT,0,0,0
Zach Dean,F,3,ENT,0,0,0
Aatu Raty,F,2,VPP,MINOR,0.6,0
Akito Hirose,D,2,UFA,0,0,0
Cale Fleury,D,2,UFA,0,0,0
Felix Sandstrom,G,2,UFA,0,0,0
Helge Grans,D,2,ENT,0,0,0
Hendrix Lapierre,F,2,SRL,MINOR,0.5,0
Jacob Larsson,D,2,UFA,0,0,0
Jakub Dobes,G,2,ENT,0,0,0
Jesper Wallstedt,G,2,SRL,MINOR,0.5,0
Joel Hanley,D,2,UFA,0,0,0
Lucas Edmonds,F,2,ENT,0,0,0
Matt Kiersted,D,2,UFA,0,0,0
Mike Hardman,F,2,UFA,0,0,0
Mikhail Maltsev,F,2,UFA,0,0,0
Radim Simek,D,2,UFA,0,0,0
Ross Johnston,F,2,UFA,0,0,0
Stanislav Svozil,D,2,ENT,0,0,0
Vladislav Kolyachonok,D,2,UFA,0,0,0
Zach Sanford,F,2,UFA,0,0,0
Danila Klimovich,F,1,ENT,0,0,0
Dysin Mayo,D,1,UFA,0,0,0
Kevin Rooney,F,1,UFA,0,0,0
Marco Kasper,F,1,SRL,MINOR,0.5,0
Mark Friedman,D,1,UFA,0,0,0
Sam Poulin,F,1,BOT,MINOR,0.5,0
Topi Niemela,D,1,LPT,MINOR,0.5,0
Victor Mete,D,1,UFA,0,0,0
Alex Formenton,F,0,UFA,0,0,0
Cayden Primeau,G,0,LPT,MINOR,0.5,0
Colin White,F,0,UFA,0,0,0
Jesse Puljujarvi,F,0,UFA,0,0,0
Kieffer Bellows,F,0,UFA,0,0,0
Nolan Patrick,F,0,JHN,MINOR,0.9,0
Robin Lehner,G,0,UFA,0,0,0
Ryan Merkley,D,0,BOT,MINOR,0.5,0
Tucker Poolman,D,0,UFA,0,0,0
