PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS
Matias Maccelli,F,3,START,ZSK,UTH,23,0.5,0,56
Casey Mittelstadt,F,RFA1,,RFA,COL,25,1.8,0,54
Zach Werenski,D,3,,UFA,CBJ,27,1.9,0,57
Trevor Moore,F,3,,UFA,LAK,29,1,0,47
Tage Thompson,F,2,START,VPP,BUF,26,6,0,79
Jonathan Drouin,F,3,,UFA,COL,29,0.5,0,54
Shayne Gostisbehere,D,3,,UFA,DET,31,0.9,0,45
Bryan Rust,F,3,,UFA,PIT,32,0.7,0,57
Erik Karlsson,D,3,,UFA,PIT,34,6.4,0,68
Michael Bunting,F,3,,UFA,PIT,28,1.1,0,55
Quinton Byfield,F,A,START,GVR,LAK,22,0.9,0,61
Tyler Toffoli,F,3,,UFA,WPG,32,2,0,55
Vladimir Tarasenko,F,3,,UFA,FLA,32,1.2,0,49
Troy Terry,F,2,START,JHN,ANA,27,1.6,0,65
Blake Coleman,F,3,,UFA,CGY,32,0.6,0,45
Philipp Kurashev,F,3,,UFA,CHI,24,1.3,0,49
Miro Heiskanen,D,RFA2,,RFA,DAL,25,2.8,0,66
Kyle Palmieri,F,3,,UFA,NYI,33,0.5,0,44
Teuvo Teravainen,F,3,,UFA,CAR,30,4.1,0,55
Martin Necas,F,RFA1,,RFA,CAR,25,2.3,0,65
Valeri Nichushkin,F,3,START,VPP,COL,29,1.8,0,47
Mason Marchment,F,3,,UFA,DAL,29,2.1,0,41
Owen Tippett,F,RFA1,,RFA,PHI,25,0.6,0,58
Mark Stone,F,3,,UFA,VGK,32,1.2,0,54
Jonathan Huberdeau,F,3,START,JHN,CGY,31,6,0,63
MacKenzie Weegar,D,3,,UFA,CGY,30,2.2,0,48
Andrei Svechnikov,F,3,START,SHF,CAR,24,3.8,0,65
Tyler Seguin,F,3,,UFA,DAL,32,0.9,0,51
Timo Meier,F,2,START,LPT,NJD,27,3.2,0,67
John Carlson,D,3,,UFA,WSH,34,3.1,0,53
Adam Henrique,F,3,,UFA,EDM,34,2.1,0,38
Kris Letang,D,3,,UFA,PIT,37,1.9,0,45
Chandler Stephenson,F,3,START,BOT,VGK,30,1.9,0,51
JJ Peterka,F,A,MINOR,SRL,BUF,22,0.5,0,59
Devon Toews,D,3,,UFA,COL,30,2.3,0,48
Drew Doughty,D,3,,UFA,LAK,34,1.9,0,49
Juraj Slafkovsky,F,A,MINOR,ZSK,MTL,20,0.9,0,62
Joel Farabee,F,C,MINOR,ZSK,PHI,24,0.8,0,46
J.T. Compher,F,3,,UFA,DET,29,0.6,0,46
Filip Hronek,D,3,,UFA,VAN,26,0.6,0,46
Charlie McAvoy,D,3,START,SHF,BOS,26,2.9,0,59
Dylan Cozens,F,B,START,JHN,BUF,23,0.6,0,66
Noah Hanifin,D,3,,UFA,VGK,27,0.7,0,50
Brady Skjei,D,3,,UFA,CAR,30,0.5,0,43
Thomas Harley,D,B,START,MAC,DAL,23,1.2,0,44
David Perron,F,3,,UFA,DET,36,1,0,43
Phillip Danault,F,3,,UFA,LAK,31,0.7,0,48
Brock Faber,D,B,START,LPT,MIN,22,1.2,0,50
Luke Hughes,D,A,MINOR,VPP,NJD,21,0.5,0,46
Max Domi,F,3,,UFA,TOR,29,0.9,0,47
Conor Garland,F,3,,UFA,VAN,28,0.5,0,48
Patrick Kane,F,3,START,SHF,DET,35,1,0,64
Jeff Skinner,F,3,,UFA,BUF,32,2.3,0,59
Vince Dunn,D,3,START,LGN,SEA,27,3.4,0,53
Brayden Schenn,F,3,,UFA,STL,33,1.3,0,51
Andrei Kuzmenko,F,3,,UFA,CGY,28,0.5,0,61
Nick Bjugstad,F,3,,UFA,UTH,32,1.1,0,37
Mattias Ekholm,D,3,,UFA,EDM,34,0.9,0,37
Ryan Hartman,F,3,,UFA,MIN,29,0.7,0,43
William Eklund,F,A,MINOR,LGN,SJS,21,0.9,0,52
Anthony Cirelli,F,3,,UFA,TBL,27,0.6,0,43
Ivan Barbashev,F,3,,UFA,VGK,28,0.9,0,49
Logan Cooley,F,A,MINOR,SRL,UTH,20,0.9,0,60
Elias Lindholm,F,3,,UFA,VAN,29,3.3,0,65
Evander Kane,F,3,START,BOT,EDM,33,1.1,0,27
Travis Sanheim,D,3,,UFA,PHI,28,0.8,0,38
Fabian Zetterlund,F,3,,UFA,SJS,25,0,0,34
Jordan Eberle,F,3,,UFA,SEA,34,0.8,0,50
Anthony Mantha,F,3,,UFA,VGK,29,0.5,0,36
Brent Burns,D,3,,UFA,CAR,39,2.8,0,42
Daniel Sprong,F,3,,UFA,DET,27,0,0,42
Tyler Bertuzzi,F,3,,UFA,TOR,29,1.5,0,47
Mason McTavish,F,A,MINOR,LPT,ANA,21,0.5,0,57
Lawson Crouse,F,3,,UFA,UTH,27,0.5,0,43
Kirill Marchenko,F,C,MINOR,SRL,CBJ,24,0.5,0,43
Moritz Seider,D,B,START,HSM,DET,23,1.2,0,51
Anthony Duclair,F,RFA2,,RFA,TBL,29,0.5,0,46
Brandon Saad,F,3,,UFA,STL,31,0.5,0,40
Shea Theodore,D,3,,UFA,VGK,29,3.2,0,56
Ryan Strome,F,3,,UFA,ANA,31,0.7,0,38
Sean Durzi,D,3,START,VPP,UTH,25,0.8,0,39
Warren Foegele,F,3,,UFA,EDM,28,0,0,34
Sam Bennett,F,3,,UFA,FLA,28,2,0,44
Jakob Chychrun,D,3,,UFA,OTT,26,0.5,0,40
Morgan Frost,F,3,,UFA,PHI,25,0.6,0,51
Eeli Tolvanen,F,3,,UFA,SEA,25,0.9,0,47
Nicolas Roy,F,3,,UFA,VGK,27,0.5,0,41
Trent Frederic,F,3,,UFA,BOS,26,0,0,39
Jake DeBrusk,F,3,,UFA,BOS,27,0.7,0,57
Andrew Mangiapane,F,3,,UFA,CGY,28,0.8,0,45
Ross Colton,F,3,,UFA,COL,28,1,0,37
Pierre-Luc Dubois,F,3,,UFA,LAK,26,2.5,0,58
Marco Rossi,F,A,MINOR,GVR,MIN,22,0.8,0,46
Reilly Smith,F,3,,UFA,PIT,33,1.1,0,42
Cam Fowler,D,3,,UFA,ANA,32,1.2,0,39
Morgan Geekie,F,3,,UFA,BOS,26,0,0,40
Mikael Backlund,F,3,,UFA,CGY,35,0.5,0,40
Rasmus Andersson,D,3,START,JHN,CGY,27,2.1,0,45
Evan Rodrigues,F,3,,UFA,FLA,31,0.5,0,39
Gustav Forsling,D,3,,UFA,FLA,28,1,0,43
Luke Evangelista,F,3,START,JHN,NSH,22,0.5,0,42
Scott Laughton,F,3,,UFA,PHI,30,0,0,35
Torey Krug,D,3,,UFA,STL,33,1.1,0,12
Jake Sanderson,D,B,MINOR,SRL,OTT,22,0.6,0,45
Sean Couturier,F,3,,UFA,PHI,31,0.6,0,38
Jake Neighbours,F,A,MINOR,LPT,STL,22,0.5,0,46
Cole Perfetti,F,A,MINOR,GVR,WPG,22,0.8,0,46
Tomas Hertl,F,3,,UFA,VGK,30,1.4,0,57
Stefan Noesen,F,3,,UFA,CAR,31,0,0,36
Jaccob Slavin,D,3,,UFA,CAR,30,1.4,0,35
Nick Foligno,F,3,,UFA,CHI,36,0.6,0,28
Anders Lee,F,3,,UFA,NYI,34,0.5,0,38
Rickard Rakell,F,3,,UFA,PIT,31,0.9,0,43
Matty Beniers,F,A,MINOR,LGN,SEA,21,0.9,0,57
Vladislav Namestnikov,F,3,,UFA,WPG,31,0.5,0,33
Alex Killorn,F,3,,UFA,ANA,35,0.6,0,46
Nils Hoglander,F,B,START,HSM,VAN,23,0.5,0,38
Gabriel Vilardi,F,RFA1,,RFA,WPG,25,0.5,0,44
Mason Appleton,F,3,,UFA,WPG,28,0,0,31
Danton Heinen,F,3,,UFA,BOS,29,0,0,35
Dylan Guenther,F,A,MINOR,LPT,UTH,21,0.8,0,57
Jason Dickinson,F,3,,UFA,CHI,29,0,0,32
Boone Jenner,F,3,,UFA,CBJ,31,0.5,0,40
Anton Lundell,F,A,MINOR,LGN,FLA,22,0.7,0,43
Colton Sissons,F,3,,UFA,NSH,30,0,0,28
Erik Haula,F,3,,UFA,NJD,33,0.6,0,33
Mathieu Joseph,F,3,,UFA,OTT,27,0,0,31
Matthew Knies,F,A,MINOR,LPT,TOR,21,0.5,0,51
Tom Wilson,F,3,,UFA,WSH,30,0.6,0,43
Adam Lowry,F,3,,UFA,WPG,31,0,0,34
Connor Zary,F,A,MINOR,SRL,CGY,22,0.5,0,44
Artturi Lehkonen,F,3,,UFA,COL,29,0.5,0,47
Dmitri Voronkov,F,3,,UFA,CBJ,24,0,0,37
Alex Newhook,F,C,MINOR,BOT,MTL,23,0.5,0,43
Nino Niederreiter,F,3,,UFA,WPG,32,0.5,0,37
Owen Power,D,A,MINOR,LGN,BUF,21,0.9,0,38
Michael Rasmussen,F,3,,UFA,DET,25,0.5,0,36
Andrew Copp,F,3,,UFA,DET,30,1.4,0,35
Brandon Montour,D,3,START,ZSK,FLA,30,1.2,0,48
Dawson Mercer,F,B,MINOR,SRL,NJD,22,0.5,0,50
Jean-Gabriel Pageau,F,3,,UFA,NYI,31,0.5,0,36
Tyson Foerster,F,A,MINOR,LGN,PHI,22,0.5,0,43
Yanni Gourde,F,3,,UFA,SEA,32,0.7,0,36
Darren Raddysh,D,3,,UFA,TBL,28,0.5,0,33
Alex Pietrangelo,D,3,,UFA,VGK,34,2.6,0,42
Connor McMichael,F,B,MINOR,SHF,WSH,23,0.5,0,40
Neal Pionk,D,3,,UFA,WPG,29,0.7,0,34
Jason Zucker,F,3,,UFA,NSH,32,0.5,0,34
Jordan Martinook,F,3,,UFA,CAR,32,0.7,0,30
Cole Sillinger,F,A,MINOR,LPT,CBJ,21,0.5,0,33
Ivan Provorov,D,3,,UFA,CBJ,27,0.7,0,32
Robby Fabbri,F,3,,UFA,DET,28,1.5,0,25
Darnell Nurse,D,3,,UFA,EDM,29,1.7,0,35
Oliver Ekman-Larsson,D,3,,UFA,FLA,33,0.5,0,28
Ryan McDonagh,D,3,,UFA,NSH,35,0.6,0,26
Dakota Joshua,F,3,,UFA,VAN,28,0,0,32
Seth Jones,D,3,,UFA,CHI,29,1.9,0,44
Jack Roslovic,F,3,,UFA,NYR,27,1.1,0,41
Brendan Gallagher,F,3,,UFA,MTL,32,0.5,0,26
Ondrej Palat,F,3,,UFA,NJD,33,0.8,0,32
Lars Eller,F,3,,UFA,PIT,35,0.5,0,23
Ilya Mikheyev,F,3,,UFA,VAN,29,0.9,0,27
Dylan DeMelo,D,3,,UFA,WPG,31,0,0,30
Zach Benson,F,A,MINOR,ZSK,BUF,19,0.7,0,43
Jordan Staal,F,3,,UFA,CAR,36,0.7,0,28
Ryan Donato,F,3,,UFA,CHI,28,1,0,26
Ryan McLeod,F,3,,UFA,EDM,24,0,0,30
Marcus Johansson,F,3,,UFA,MIN,33,1.2,0,32
K'Andre Miller,D,3,,UFA,NYR,24,1.1,0,38
Josh Norris,F,RFA1,,RFA,OTT,25,1.2,0,41
Thomas Chabot,D,2,START,BOT,OTT,27,3.2,0,38
Cam York,D,C,START,LPT,PHI,23,0.5,0,32
Marcus Pettersson,D,3,,UFA,PIT,28,0.8,0,29
Jaden Schwartz,F,3,,UFA,SEA,32,0.5,0,33
Justin Faulk,D,3,,UFA,STL,32,1.4,0,46
Leo Carlsson,F,A,MINOR,LGN,ANA,19,0.9,0,50
Michael Carcone,F,3,,UFA,UTH,28,0,0,25
Bowen Byram,D,C,START,GVR,BUF,23,0.7,0,37
Yegor Chinakhov,F,B,MINOR,SRL,CBJ,23,0.5,0,34
Sean Walker,D,3,,UFA,COL,29,0.6,0,24
Kevin Hayes,F,3,,UFA,STL,32,0.5,0,35
Pius Suter,F,3,,UFA,VAN,28,0,0,29
Tyler Myers,D,3,,UFA,VAN,34,1.1,0,24
Aliaksei Protas,F,3,,UFA,WSH,23,0,0,30
Pavel Mintyukov,D,A,MINOR,ZSK,ANA,20,0.5,0,37
Jordan Greenway,F,3,,UFA,BUF,27,0.6,0,24
Damon Severson,D,3,,UFA,CBJ,30,0.6,0,36
Joe Veleno,F,C,START,VPP,DET,24,0.5,0,29
Jake Evans,F,3,,UFA,MTL,28,0,0,26
Pierre Engvall,F,3,,UFA,NYI,28,0,0,29
Ryan Poehling,F,3,,UFA,PHI,25,0.5,0,26
Cam Atkinson,F,3,,UFA,PHI,35,0.5,0,32
Nick Leddy,D,3,,UFA,STL,33,1.2,0,24
Jake McCabe,D,3,,UFA,TOR,30,0,0,28
Teddy Blueger,F,3,,UFA,VAN,30,0,0,22
Jesperi Kotkaniemi,F,C,MINOR,GVR,CAR,24,0.5,0,40
Jack Drury,F,C,MINOR,BOT,CAR,24,0.5,0,26
Adam Fantilli,F,A,MINOR,GVR,CBJ,19,0.9,0,51
Eetu Luostarinen,F,3,,UFA,FLA,26,0,0,38
Jonas Brodin,D,3,,UFA,MIN,31,0.5,0,26
Kiefer Sherwood,F,3,,UFA,NSH,29,0,0,22
Shane Pinto,F,3,START,LGN,OTT,23,0.6,0,47
Nicholas Robertson,F,B,MINOR,GVR,TOR,23,0.5,0,34
Michael Amadio,F,3,,UFA,VGK,28,0,0,28
Alex Iafallo,F,3,,UFA,WPG,30,0.5,0,30
Jack McBain,F,3,,UFA,UTH,24,0,0,26
Hampus Lindholm,D,3,START,VPP,BOS,30,1.5,0,37
Dmitry Orlov,D,3,,UFA,CAR,33,0.7,0,31
Miles Wood,F,3,,UFA,COL,29,0,0,26
Justin Danforth,F,3,,UFA,CBJ,31,0,0,25
Erik Gudbranson,D,3,,UFA,CBJ,32,0,0,19
Esa Lindell,D,3,,UFA,DAL,30,0.5,0,26
Jimmy Vesey,F,3,,UFA,NYR,31,0,0,24
Ridly Greig,F,3,,UFA,OTT,22,0,0,34
Colton Parayko,D,3,,UFA,STL,31,0.5,0,29
Brayden McNabb,D,3,,UFA,VGK,33,0,0,21
Josh Manson,D,3,,UFA,COL,32,0.7,0,22
Cody Ceci,D,3,,UFA,EDM,30,0.6,0,23
Matt Roy,D,3,,UFA,LAK,29,0,0,26
Joel Armia,F,3,,UFA,MTL,31,0.6,0,21
Curtis Lazar,F,3,,UFA,NJD,29,0.5,0,19
John Marino,D,3,,UFA,NJD,27,0.5,0,26
Simon Holmstrom,F,3,,UFA,NYI,23,0,0,22
Artem Zub,D,3,,UFA,OTT,28,0,0,23
Michael Eyssimont,F,3,,UFA,TBL,28,0,0,26
Paul Cotter,F,3,,UFA,VGK,24,0,0,19
Martin Pospisil,F,3,,UFA,CGY,24,0,0,31
Sam Steel,F,3,,UFA,DAL,26,0.8,0,25
Jeff Petry,D,3,,UFA,DET,36,0.5,0,25
Mike Reilly,D,3,,UFA,NYI,31,0.6,0,21
Jordan Spence,D,3,,UFA,LAK,23,0,0,28
David Savard,D,3,,UFA,MTL,33,0,0,21
Nick Perbix,D,3,,UFA,TBL,26,0,0,25
Bobby McMann,F,3,,UFA,TOR,28,0,0,30
Sam Lafferty,F,3,,UFA,TOR,29,0,0,23
Pavel Dorofeyev,F,3,START,SHF,VGK,23,0.5,0,35
Tomas Tatar,F,3,,UFA,SEA,33,0,0,29
Alex Laferriere,F,3,,UFA,LAK,22,0,0,27
Vladislav Gavrikov,D,3,,UFA,LAK,28,0.5,0,25
Cole Smith,F,3,,UFA,NSH,28,0,0,17
Casey Cizikas,F,3,,UFA,NYI,33,0,0,21
Bobby Brink,F,B,MINOR,BOT,PHI,23,0.5,0,35
Timothy Liljegren,D,RFA1,,RFA,TOR,25,0.5,0,30
Sonny Milano,F,3,,UFA,WSH,28,0,0,31
Rasmus Sandin,D,3,START,LGN,WSH,24,0.5,0,29
Brett Leason,F,3,,UFA,ANA,25,0,0,23
Jalen Chatfield,D,3,,UFA,CAR,28,0,0,20
Corey Perry,F,3,,UFA,EDM,39,0.5,0,20
Kaiden Guhle,D,3,,UFA,MTL,22,0.5,0,31
Michael McCarron,F,3,,UFA,NSH,29,0,0,18
Jacob Trouba,D,3,,UFA,NYR,30,0.7,0,27
Kasperi Kapanen,F,3,,UFA,STL,28,0.9,0,22
Nic Dowd,F,3,,UFA,WSH,34,0,0,23
Hendrix Lapierre,F,A,MINOR,SRL,WSH,22,0.5,0,21
Michael Kesselring,D,3,,UFA,UTH,24,0,0,25
Jake Walman,D,3,,UFA,DET,28,0,0,26
Marcus Foligno,F,3,,UFA,MIN,33,0,0,24
Will Cuylle,F,3,,UFA,NYR,22,0,0,25
Egor Zamula,D,3,,UFA,PHI,24,0,0,19
Mario Ferraro,D,3,,UFA,SJS,25,0,0,22
Oskar Sundqvist,F,3,,UFA,STL,30,0,0,22
Calle Jarnkrok,F,3,,UFA,TOR,32,2.9,0,27
Beck Malenstyn,F,3,,UFA,WSH,26,0,0,20
Henri Jokiharju,D,3,,UFA,BUF,25,0,0,20
Nikita Zadorov,D,3,,UFA,VAN,29,0.5,0,22
Ben Chiarot,D,3,,UFA,DET,33,0.5,0,19
Dmitry Kulikov,D,3,,UFA,FLA,33,0,0,19
Josh Anderson,F,3,,UFA,MTL,30,0,0,23
Philip Tomasino,F,B,MINOR,BOT,NSH,23,0.5,0,38
Erik Brannstrom,D,3,,UFA,OTT,25,0.7,0,25
Valtteri Puustinen,F,3,,UFA,PIT,25,0,0,29
Tye Kartye,F,3,,UFA,SEA,23,0,0,26
Brenden Dillon,D,3,,UFA,WPG,33,0,0,20
Jack Quinn,F,A,MINOR,VPP,BUF,22,0.6,0,51
Chris Tanev,D,3,,UFA,DAL,34,0,0,21
Jesper Fast,F,3,,UFA,CAR,32,0,0,22
Radek Faksa,F,3,,UFA,DAL,30,0.6,0,19
Nils Lundkvist,D,C,MINOR,SRL,DAL,24,0.5,0,24
Christian Fischer,F,3,,UFA,DET,27,0.5,0,20
Connor Dewar,F,3,,UFA,TOR,25,0,0,20
Simon Nemec,D,A,MINOR,SRL,NJD,20,0.8,0,26
Ryan Pulock,D,3,,UFA,NYI,29,0.5,0,24
Kaapo Kakko,F,B,MINOR,GVR,NYR,23,0.9,0,34
Jonny Brodzinski,F,3,,UFA,NYR,31,0,0,12
Braden Schneider,D,3,,UFA,NYR,22,0,0,24
Jan Rutta,D,3,,UFA,SJS,34,0,0,16
Mikhail Sergachev,D,3,START,MAC,TBL,26,3,0,58
David Kampf,F,3,,UFA,TOR,29,0,0,23
Brett Howden,F,3,,UFA,VGK,26,0.5,0,19
Radko Gudas,D,3,,UFA,ANA,34,0,0,17
Connor Clifton,D,3,,UFA,BUF,29,0,0,19
Samuel Girard,D,3,,UFA,COL,26,1.1,0,27
Sean Kuraly,F,3,,UFA,CBJ,31,0,0,19
Olli Maatta,D,3,,UFA,DET,30,0.5,0,19
Aaron Ekblad,D,3,START,BOT,FLA,28,2.2,0,36
Mikey Anderson,D,3,,UFA,LAK,25,0,0,22
Parker Kelly,F,3,,UFA,OTT,25,0,0,15
Noah Cates,F,3,START,JHN,PHI,25,0.5,0,27
Luke Kunin,F,3,,UFA,SJS,26,0.5,0,20
Adam Larsson,D,3,,UFA,SEA,31,0.5,0,25
Keegan Kolesar,F,3,,UFA,VGK,27,0,0,20
Morgan Barron,F,3,,UFA,WPG,25,0,0,19
Dylan Samberg,D,3,,UFA,WPG,25,0,0,19
Jackson LaCombe,D,3,,UFA,ANA,23,0,0,23
Juuso Valimaki,D,3,START,JHN,UTH,25,0.5,0,23
Joey Anderson,F,3,,UFA,CHI,26,0,0,19
Ryan Suter,D,3,,UFA,DAL,39,0.7,0,16
Niko Mikkola,D,3,,UFA,FLA,28,0,0,16
Yakov Trenin,F,3,,UFA,COL,27,0,0,21
Ryan Lindgren,D,3,,UFA,NYR,26,0,0,18
Garnet Hathaway,F,3,,UFA,PHI,32,0,0,17
Scott Perunovich,D,2,START,LPT,STL,26,0.6,0,27
Pontus Holmberg,F,3,,UFA,TOR,25,0,0,20
Anthony Beauvillier,F,3,,UFA,NSH,27,0.5,0,30
Alec Martinez,D,3,,UFA,VGK,37,1.1,0,15
Lukas Reichel,F,A,MINOR,BOT,CHI,22,0.5,0,30
Alex Vlasic,D,3,,UFA,CHI,23,0,0,22
Jack Johnson,D,3,,UFA,COL,37,0,0,9
Kent Johnson,F,A,MINOR,ZSK,CBJ,21,0.7,0,35
Brett Kulak,D,3,,UFA,EDM,30,0,0,17
Dougie Hamilton,D,3,START,BOT,NJD,31,4.2,0,56
Adam Pelech,D,3,,UFA,NYI,30,0.5,0,23
Brandon Tanev,F,3,,UFA,SEA,32,0,0,20
Andre Burakovsky,F,3,,UFA,SEA,29,1,0,38
Brian Dumoulin,D,3,,UFA,SEA,33,0,0,18
Nicolas Aube-Kubel,F,3,,UFA,WSH,28,0,0,17
Martin Fehervary,D,3,,UFA,WSH,24,0,0,17
Trevor Zegras,F,C,MINOR,ZSK,ANA,23,2,0,60
Max Jones,F,3,,UFA,ANA,26,0,0,20
Matthew Poitras,F,3,,UFA,BOS,20,0,0,27
Victor Olofsson,F,3,,UFA,BUF,29,0.5,0,30
Kevin Korchinski,D,A,MINOR,GVR,CHI,20,0.5,0,21
Blake Lizotte,F,3,,UFA,LAK,26,0,0,23
Viktor Arvidsson,F,3,,UFA,LAK,31,1,0,48
Arthur Kaliyev,F,B,MINOR,GVR,LAK,23,0.5,0,28
Frederick Gaudreau,F,3,,UFA,MIN,31,0,0,19
